Vessel,Ware,VesType,Rim Style,RimDiameter,RimWidth,Rim Height,Body Thickness at Rim,Body Thickness 1cm Below Rim,Body Thickness 2cm Below Rim
SHV087,Coarse Earthenware,Crock or Jar,Squarred,18,14,23,10,9,7
SHV066,Coarse Earthenware,Crock or Jar,Rolled,26,15,20,6,6,6
NS229,Coarse Earthenware,Crock or Jar,Rolled,16,15,22,7,6,6
SAV042,Coarse Earthenware,Crock or Jar,Rolled,18,14,18,8,6,6
SHV086,Coarse Earthenware,Crock or Jar,Squarred,22,10,17,6,6,6
MH377,Coarse Earthenware,Crock or Jar,Squarred,15,22,11,6,6,6
SHV111,Coarse Earthenware,Crock or Jar,Rolled,26,18,26,9,7,6
SHV089,Coarse Earthenware,Crock or Jar,Squarred,16,11,26,8,7,6
SHV088,Coarse Earthenware,Crock or Jar,Squarred,18,11,23,7,7,6
SHV155,Coarse Earthenware,Crock or Jar,Rolled,12,8,12,4,5,5
SHV149,Coarse Earthenware,Crock or Jar,Rolled,18,12,17,6,5,5
SHV153,Coarse Earthenware,Crock or Jar,Rolled,22,13,18,5,5,5
SHV082,Coarse Earthenware,Crock or Jar,Squarred,16,10,21,6,5,5
SHV037,Coarse Earthenware,Crock or Jar,Squarred,22,15,20,7,5,5
SHV048,Coarse Earthenware,Crock or Jar,Rolled,18,14,14,7,6,5
SHV091,Coarse Earthenware,Crock or Jar,Rolled,20,13,22,6,6,5
SHV116,Coarse Earthenware,Crock or Jar,Rolled,12,16,11,6,6,5
SHV050,Coarse Earthenware,Crock or Jar,Rolled,20,18,11,7,6,5
SHV054,Coarse Earthenware,Crock or Jar,Squarred,14,13,26,6,6,5
SHV053,Coarse Earthenware,Crock or Jar,Squarred,14,12,28,6,6,5
SHV077,Coarse Earthenware,Crock or Jar,Squarred,18,12,25,7,6,5
SHV071,Coarse Earthenware,Crock or Jar,Squarred,16,11,15,7,7,5
SHV070,Coarse Earthenware,Crock or Jar,Squarred,14,,,5,4,4
SHV085,Coarse Earthenware,Crock or Jar,Squarred,18,9,16,4,4,4
SHV093,Coarse Earthenware,Crock or Jar,Rolled,16,11,22,5,5,4
SHV108,Coarse Earthenware,Crock or Jar,Rolled,20,13,20,6,5,4
SHV061,Coarse Earthenware,Crock or Jar,Rolled,20,12,23,7,5,4
SHV090,Coarse Earthenware,Crock or Jar,Squarred,28,14,26,7,5,4
SHV131,Coarse Earthenware,Crock or Jar,Squarred,14,7,18,4,3,3
SHV132,Coarse Earthenware,Crock or Jar,Squarred,16,9,26,4,3,3
SHV083,Coarse Earthenware,Crock or Jar,Squarred,18,10,21,5,4,3
SHV052,Coarse Earthenware,Crock or Jar,Squarred,18,10,24,5,4,3
NS257,Coarse Earthenware,Crock or Jar,Rolled,18,10,18,4,4,
SHV113,Coarse Earthenware,Crock or Jar,Rolled,14,9,14,3,2,
SHV069,Coarse Earthenware,Crock or Jar,Rolled,20,11,22,5,4,
SHV110,Coarse Earthenware,Crock or Jar,Rolled,22,13,15,5,4,
SHV109,Coarse Earthenware,Crock or Jar,Rolled,22,14,25,6,4,
SHV164,Coarse Earthenware,Crock or Jar,Rolled,12,7,3,4,4,
SHV080,Coarse Earthenware,Crock or Jar,Squarred,18,10,21,4,4,
SHV039,Coarse Earthenware,Crock or Jar,Squarred,22,12,24,4,4,
SHV076,Coarse Earthenware,Crock or Jar,Squarred,24,12,22,5,4,
SHV092,Coarse Earthenware,Crock or Jar,Rolled,18,14,26,6,5,
SHV063,Coarse Earthenware,Crock or Jar,Rolled,18,15,26,8,5,
SHV067,Coarse Earthenware,Crock or Jar,Rolled,20,14,21,7,5,
SHV062,Coarse Earthenware,Crock or Jar,Rolled,20,15,28,7,5,
SHV104,Coarse Earthenware,Crock or Jar,Rolled,22,11,19,5,5,
NS223,Coarse Earthenware,Crock or Jar,Rolled,24,,15,7,5,
SHV136,Coarse Earthenware,Crock or Jar,Squarred,16,13,33,5,5,
SHV056,Coarse Earthenware,Crock or Jar,Squarred,16,9,18,6,5,
SHV055,Coarse Earthenware,Crock or Jar,Squarred,18,13,23,6,5,
SHV057,Coarse Earthenware,Crock or Jar,Squarred,20,11,20,6,5,
MH408,Coarse Earthenware,Crock or Jar,Rolled,16,16,11,6,5,
